Cooperativa,Nome fantasia,Estado,Cidade,Status da escola,Programa Educacional
Sicredi Gerações RS/MG,EMEF Dom João VI,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Integração de Estados RS/SC/MG,CEI Anjos da Luz,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF JOÃO XXIII,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Emei Ida Fiori Druck,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI DONA ANITA,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EEF Aprender,RIO GRANDE DO SUL,GUAIBA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EEF Aprender,RIO GRANDE DO SUL,GUAIBA,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Gerações RS/MG,EMEF São Luiz,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Gerações RS/MG,EMEI Pingo de Gente,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Capitão Garcia,RIO GRANDE DO SUL,SERTAO SANTANA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Capitão Garcia,RIO GRANDE DO SUL,SERTAO SANTANA,Ativo,Cooperativas Escolares
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Escola de Educação Infantil Aquarela,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,Núcleo Escolar Rio das Pedras,SANTA CATARINA,LEOBERTO LEAL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Escola Municipal Inácia de Carvalho,MINAS GERAIS,SAO JOSE DA LAPA,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Região Centro RS/MG,EMEF Santa Rosa,RIO GRANDE DO SUL,FORMIGUEIRO,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF Elpídio Fialho,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,CEI Raios de Sol,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF JOÃO BAPTISTA TOALDO,RIO GRANDE DO SUL,SAO MARTINHO DA SERRA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Emei Iracema Cidade,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMB Irmã Maria Tambosi,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Professora Eloisa Melo de Oliveira,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI JARDIM DOS SONHOS,RIO GRANDE DO SUL,VILA NOVA DO SUL,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF AGOSTINHO MISTURA,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
