Cooperativa,Nome fantasia,Estado,Cidade,Status da escola,Programa Educacional
Sicredi Região Centro RS/MG,E.M.E.F DEZESSETE DE SETEMBRO,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,APAE,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Junto ao CAIC Luizinho De Grandi,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI JOÃO CARLINI,RIO GRANDE DO SUL,AJURICABA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI PRIMEIROS PASSOS,RIO GRANDE DO SUL,CORONEL BARROS,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF Angel Custódio Hernandez,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Diácono João Luiz Pozzobon,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Escola João Eduardo Witt Schmitz,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,E.M.E.F. Vanda Maria da Silva,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.I CANTINHO DA CRIANÇA,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Adelmo Simas Genro,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF João Antônio da Conceição,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF LORETE FANCK,RIO GRANDE DO SUL,CHIAPETTA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Antonio Luiz Barchet,RIO GRANDE DO SUL,DONA FRANCISCA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,CRECHE MUNICIPAL PROFª NOÊMIA NOGUEIRA TEIXEIRA,RIO GRANDE DO SUL,LAVRAS DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Centro Municipal de Educação Infantil Formiguinha,RIO GRANDE DO SUL,FORMIGUEIRO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F. MARIA GENI DE OLIVEIRA,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF Manoel Abreu,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Emei Dente De Leite,RIO GRANDE DO SUL,DONA FRANCISCA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI CAIC Luizinho De Grandi,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Escola Municipal de Ensino Fundamental São José,RIO GRANDE DO SUL,NOVA ESPERANCA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.F. Dr. Cláudio Teixeira Bulcão,RIO GRANDE DO SUL,LAVRAS DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.F. PROFESSORA HELENA MARIA DUTRA FERREIRA,RIO GRANDE DO SUL,LAVRAS DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EEEF FRANCISCO MANOEL,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF PROFª NELCI TOBIAS OEDMANN,RIO GRANDE DO SUL,AJURICABA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,Escola Municipal de Ensino Fundamental Pio XII,RIO GRANDE DO SUL,CHARQUEADAS,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,Escola Municipal de Ensino Fundamental Pio XII,RIO GRANDE DO SUL,CHARQUEADAS,Ativo,Cooperativas Escolares
Sicredi Região Centro RS/MG,EMEI EDWALDO BERNARDO HOFFMANN,RIO GRANDE DO SUL,RESTINGA SECA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F.PROFESSORA CÂNDIDA ZASSO,RIO GRANDE DO SUL,NOVA PALMA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F.PROFESSORA CÂNDIDA ZASSO,RIO GRANDE DO SUL,NOVA PALMA,Ativo,Cooperativas Escolares
Sicredi das Culturas RS/MG,E.M.E.F Rosalina Diniz de Souza,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.Infantil Aquarela,RIO GRANDE DO SUL,NOVA PALMA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emei Sol Criança,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Santa Flora - Escola Núcleo,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Santa Flora - Escola Núcleo,RIO GRANDE DO SUL,SANTA MARIA,Ativo,Cooperativas Escolares
Sicredi das Culturas RS/MG,EMEI BEM-ME-QUER,RIO GRANDE DO SUL,CHIAPETTA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI TURMA DA ESPERANÇA,RIO GRANDE DO SUL,AUGUSTO PESTANA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.F. MARIA JOAQUINA DE MENEZES,RIO GRANDE DO SUL,LAVRAS DO SUL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emei Tio Patinhas,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,E.M.E.F João Rodrigues de Almeida,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF Wilson Azambuja Vieira,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF HAYDÊE CHIAPETTA,RIO GRANDE DO SUL,CHIAPETTA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF CLOTÁRIO FOUCHARD,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,PIM,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI RAIO DE SOL,RIO GRANDE DO SUL,AJURICABA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Dente de Leite,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF Assis Brasil Martins Bitencourt,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Escola Sílvio Aquino,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF de Ensino Fundamental Duque de Caxias,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI SONHO DE CRIANÇA,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Escola Municipal de Ensino Fundamental São Conrado,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF HONORINO PEREIRA BORGES,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF HONORINO PEREIRA BORGES,RIO GRANDE DO SUL,MARAU,Ativo,Cooperativas Escolares
Sicredi Região Centro RS/MG,E. M.E.F. São Vicente de Paulo,RIO GRANDE DO SUL,FORMIGUEIRO,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEI Pedacinho de Gente,RIO GRANDE DO SUL,AJURICABA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F. Jaco David Diesel,RIO GRANDE DO SUL,SAO PEDRO DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF CGL,RIO GRANDE DO SUL,SAO PEDRO DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Maria de Lourdes  Castro,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF Esquina Aparecida,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF Rui Barbosa,RIO GRANDE DO SUL,CORONEL BICACO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Professora Lucinda Chimelo,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Essência,Escola Dr. Ferraz Neto,RIO GRANDE DO SUL,SAO GABRIEL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emei Olga Mary,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEF Joao Alfredo Sachser,RIO GRANDE DO SUL,ERNESTINA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEF Joao Alfredo Sachser,RIO GRANDE DO SUL,ERNESTINA,Ativo,Cooperativas Escolares
Sicredi Integração de Estados RS/SC/MG,EMEF Joao Alfredo Sachser,RIO GRANDE DO SUL,ERNESTINA,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Essência,EMEI ELEFANTINHO,RIO GRANDE DO SUL,ROSARIO DO SUL,Ativo,A União Faz a Vida
Sicredi Essência,EMEF Oliveiro Thaddeo,RIO GRANDE DO SUL,ROSARIO DO SUL,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Escola Municipal de Ensino Fundametal Educarte,RIO GRANDE DO SUL,ERNESTINA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Escola Municipal de Ensino Fundametal Educarte,RIO GRANDE DO SUL,ERNESTINA,Ativo,Cooperativas Escolares
Sicredi Integração de Estados RS/SC/MG,Escola Municipal de Ensino Fundametal Educarte,RIO GRANDE DO SUL,ERNESTINA,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Integração de Estados RS/SC/MG,EMEI Orlando Rojas,RIO GRANDE DO SUL,ERNESTINA,Ativo,A União Faz a Vida
Sicredi Essência,EMEF Alberto Pasqualini,RIO GRANDE DO SUL,MANOEL VIANA,Ativo,A União Faz a Vida
Sicredi Essência,EMEF Henrique Dias,RIO GRANDE DO SUL,MANOEL VIANA,Ativo,A União Faz a Vida
Sicredi Essência,EMEF Erico Verissimo,RIO GRANDE DO SUL,MANOEL VIANA,Ativo,A União Faz a Vida
Sicredi Essência,EMEI Maria Veni Lottermann,RIO GRANDE DO SUL,MANOEL VIANA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF TOROPI,RIO GRANDE DO SUL,TOROPI,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI TOROPI,RIO GRANDE DO SUL,TOROPI,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF CARLOS PULGATI,RIO GRANDE DO SUL,TOROPI,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Centro Educacional Criança Esperança,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,CEI Pingo de Gente,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,CEI Cantinho de Luz,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF DARIO LOPES DE ALMEIDA,RIO GRANDE DO SUL,PANTANO GRANDE,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF DARIO LOPES DE ALMEIDA,RIO GRANDE DO SUL,PANTANO GRANDE,Ativo,Cooperativas Escolares
Sicredi Integração de Estados RS/SC/MG,EMEF ALBERTO TORRES,RIO GRANDE DO SUL,PONTAO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,E.M.E.I.E.F. Olavo Bilac,RIO GRANDE DO SUL,PONTAO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEI Sementinha do Amanhã,RIO GRANDE DO SUL,PONTAO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EEB Cacilda Guimarães,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Centro Educacional Perimbó,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Centro Educacional Indaiá,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEF Maria Antonia,RIO GRANDE DO SUL,MATO CASTELHANO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEF Maria Antonia,RIO GRANDE DO SUL,MATO CASTELHANO,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Integração de Estados RS/SC/MG,Centro Educacional Infantil Cantinho do Saber,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Centro de Educação Infantil Maria Ramos Will,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Creche Cecília Peixe Frutuoso,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EEEM Jorge Manfroi,RIO GRANDE DO SUL,MATO CASTELHANO,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Escola João XXIII São Sepé,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF São João Batista,RIO GRANDE DO SUL,FORMIGUEIRO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEF Padre Leonel Franca,RIO GRANDE DO SUL,MATO CASTELHANO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEF Padre Leonel Franca,RIO GRANDE DO SUL,MATO CASTELHANO,Ativo,Cooperativas Escolares
Sicredi Integração de Estados RS/SC/MG,EMEF Padre Leonel Franca,RIO GRANDE DO SUL,MATO CASTELHANO,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Integração de Estados RS/SC/MG,E.M. João Alberto Schmid,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,E.M. Professor Rodolfo Fink,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,E.M. Francisco Feifareck Junior,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,E.M. Rio Bonito,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,E.M. Padre Heriberto Hartmann,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,E.M. Germano Schaefer,SANTA CATARINA,VIDAL RAMOS,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,CE Professora Maria Safira da Silveira,SANTA CATARINA,PETROLANDIA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Escola munic. De Ens. Fund. Osvaldo Cruz,RIO GRANDE DO SUL,ERNESTINA,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,Escola munic. De Ens. Fund. Osvaldo Cruz,RIO GRANDE DO SUL,ERNESTINA,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Região Centro RS/MG,E.M.E.I. GENTE MIÚDA,RIO GRANDE DO SUL,PIRATINI,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E. Marlene Medeiros,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,ESCOLA IGNEZ SOFIA DE VARGAS,RIO GRANDE DO SUL,SAO MARTINHO DA SERRA,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI PINGO DE GENTE,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,Emei Dona Dele,RIO GRANDE DO SUL,CAMARGO,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,CEI Pingo de Gente,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Cassiano Moralles,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Aliança RS/SC/ES,EMEI Toca do Coelhinho,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEB Júlio Wolf,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF Ernesto Dornelles,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
